pua,la_name,total_11_18,estimate_14_18,fsm,number_of_schools,academy_converter,academy_sponsor_led,community_school,foundation_school,free_schools,free_schools_alternative_provision,voluntary_aided_school,foundation_special_school,free_schools_special,pupil_referral_unit,academy_alternative_provision_sponsor_led,community_special_school,academy_alternative_provision_converter
Birmingham,Birmingham,70258,33592,35.41,79,34,18,7,2,8,6,4,NA,NA,NA,NA,NA,NA
Birmingham,Dudley,19032,7776,26.98,20,12,3,3,NA,NA,NA,1,1,NA,NA,NA,NA,NA
Birmingham,Sandwell,19693,8807,34.01,18,4,7,NA,2,2,NA,1,NA,1,1,NA,NA,NA
Birmingham,Solihull,17660,8316,24.28,17,8,6,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA
Birmingham,Walsall,20417,9742,29.46,19,9,5,NA,NA,NA,1,2,NA,NA,1,NA,1,NA
Birmingham,Wolverhampton,15681,7574,34.61,16,8,5,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
Blackburn,Blackburn with Darwen,9581,4302,24.86,9,4,3,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
Bradford,Bradford,33466,15601,30.05,31,8,14,1,NA,6,NA,1,NA,NA,NA,NA,NA,1
Hull,"Kingston upon Hull, City of",16388,7067,33.18,14,6,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2
Liverpool,Knowsley,5980,2400,48.55,6,2,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
Liverpool,Liverpool,26435,13196,30.58,31,6,9,3,NA,NA,2,8,NA,NA,1,NA,2,NA
,Total,254591,118373,NA,260,101,78,15,4,18,10,19,1,1,6,1,3,3
